"Date","Time","Transaction ID","Receipt No.","Total","Total Cost","Payment Type","Category","Item","Option","Modifier","Quantity","Price per Unit","Discounted Price","Inclusive VAT","Cost","Refunded","Refund Reason","Item Note","% Item Discount","Item Discount Amount","% Total Discount","Total Discount Amount","VAT Exemption","Service %","Service Amount","Cashier","Note","Customer","Customer Phone","Customer Delivery Address","Park Tag","Type"
"29 Feb 2024","1:02pm","1709182949","3038","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","11:57am","1709179079","3037","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","10:25am","1709173520","3036","379","246.35","Cash","BW CHILLED CAKES","DOUBLE CHOCO | 7R","","","1","379","379","0","246.35","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","10:25am","1709173520","3036","","","Cash","BW CANDLES","CANDLE | BLUE SM","","","1","2","0","0","0","","","","100","2","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","10:16am","1709173002","3035","127","0","Cash","BW PROMOS","FLAVORED TRIO | RAISINS","","","1","149","127","0","0","","","","14.76510067114094","22","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","10:03am","1709172188","3034","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","9:44am","1709171045","3033","599","0","Cash","BW PROMOS","FBC MOCHA | 8X11","","","1","641","599","0","0","","","","6.5522620904836195","42","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","9:44am","1709171045","3033","","","Cash","BW CANDLES","CANDLE | BLUE SM","","","1","2","0","0","0","","","","100","2","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","9:10am","1709169019","3032","139","0","gcash","BW PROMOS","JUMBO LOAF BUNDLE","","","1","158","139","0","0","","","Ref no:1015605457071","12.025316455696203","19","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","7:38am","1709163486","3031","127","0","Cash","BW PROMOS","FLAVORED TRIO | RAISINS","","","1","149","127","0","0","","","","14.76510067114094","22","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","7:27am","1709162867","3030","60","39","Cash","BW LOAVES","LOAF | UBE","","","1","60","60","0","39","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","7:19am","1709162385","3029","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:54am","1709160862","3028","127","0","Cash","BW PROMOS","FLAVORED TRIO | RAISINS","","","1","149","127","0","0","","","","14.76510067114094","22","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:54am","1709160851","3027","127","22.75","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:54am","1709160851","3027","","","Cash","BW PASALUBONG","TOASTED BREAD","","","1","35","28","0","22.75","","","","20","7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","6:21pm","1709115662","3026","147","0","Cash","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","Trio ube","14.534883720930234","25","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","6:20pm","1709115644","3025","133","22.1","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","6:20pm","1709115644","3025","","","Cash","BW PASTRIES","BANANA SLICE","","","2","17","34","0","11.05","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","6:20pm","1709115611","3024","94","61.099999999999994","Cash","BW PASTRIES","EGG PIE","","","2","28","56","0","18.2","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","6:20pm","1709115611","3024","","","Cash","BW PASTRIES","YEMA CAKE","","","2","19","38","0","12.35","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:44pm","1709113475","3023","55.3","51.35","Cash","BW CHILLED CAKES","SINFUL CAKE SLICE","","","1","79","55.3","0","51.35","","","1 day","30","23.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:29pm","1709112580","3022","544","343.85","Cash","BW CHILLED CAKES","DOUBLE CHOCO 8x11","","","1","529","529","0","343.85","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:29pm","1709112580","3022","","","Cash","BW CANDLES","CANDLE | No* 2","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:29pm","1709112562","3021","267.3","246.35","Cash","BW CHILLED CAKES","DOUBLE CHOCO | 7R","","","1","379","265.3","0","246.35","","","1 day","30","113.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:29pm","1709112562","3021","","","Cash","BW CANDLES","CANDLE | PINK SM","","","1","2","2","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112151","3020","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","165.2","143","Cash","BW PASTRIES","CHOCO FUDGE","","","1","35","24.5","0","22.75","","","1 day","30","10.5","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW BREADS","ASADO BUN","","","1","29","20.3","0","18.85","","","1 day","30","8.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW BREADS","CHEESY ENSAYMADA","","","1","36","25.2","0","17.55","","","1 day","30","10.8","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW PASTRIES","SPECIAL MAMON","","","1","25","17.5","0","16.25","","","1 day","30","7.5","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW PASTRIES","CHOCO MARBLE MAMON","","","1","29","20.3","0","18.2","","","1 day","30","8.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW PASTRIES","EGG PIE","","","1","28","19.6","0","18.2","","","1 day","30","8.4","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW PASTRIES","CHOCO EGG PIE","","","1","35","24.5","0","21.45","","","1 day","30","10.5","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","5:22pm","1709112135","3019","","","Cash","BW PASTRIES","BUTTER CUPCAKE","","","1","19","13.3","0","9.75","","","1 day","30","5.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","4:47pm","1709110027","3018","30","0","Cash","BW BEVERAGES","BOTTLED WATER","","","2","15","30","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","4:17pm","1709108227","3017","147","95.55","Cash","BW CHILLED CAKES","CREAMY YEMA CAKE","","","1","147","147","0","95.55","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","4:16pm","1709108214","3016","119","0","Cash","BW CHILLED CAKES","CUSTARD CAKE","","","1","119","119","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","4:10pm","1709107810","3015","48","31.2","Cash","BW DELICACIES","HOPIA UBE","","","1","48","48","0","31.2","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","4:05pm","1709107528","3014","76.3","31.85","Cash","BW BREADS","PANDESAL | UBE CHEESE","","","1","109","76.3","0","31.85","","","1 day","30","32.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:57pm","1709107047","3013","323.3","298.35","Cash","BW CHILLED CAKES","FAMOUS MOCHA | 8x11","","","1","459","321.3","0","298.35","","","1 day","30","137.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:57pm","1709107047","3013","","","Cash","BW CANDLES","CANDLE | BLUE SM","","","1","2","2","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:42pm","1709106155","3012","349","207.35","Cash","BW CHILLED CAKES","FAMOUS MOCHA | 7R","","","1","319","319","0","207.35","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:42pm","1709106155","3012","","","Cash","BW CANDLES","CANDLE | No* 7","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:42pm","1709106155","3012","","","Cash","BW CANDLES","CANDLE | No* 5","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:34pm","1709105688","3011","15","0","Cash","BW BEVERAGES","BOTTLED WATER","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:26pm","1709105173","3010","147","0","Cash","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","Trio ube","14.534883720930234","25","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:25pm","1709105154","3009","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:16pm","1709104611","3008","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","3:04pm","1709103881","3007","74","0","Cash","BW SPREADS","PEANUT BUTTER | 250 grams","","","1","74","74","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","2:19pm","1709101160","3006","44.8","40.95","Cash","BW PASTRIES","CHOCO MARBLE MAMON","","","1","29","20.3","0","18.2","","","1day before","30","8.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","2:19pm","1709101160","3006","","","Cash","BW PASTRIES","CHOCO FUDGE","","","1","35","24.5","0","22.75","","","1day before","30","10.5","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","2:09pm","1709100594","3005","79","51.35","Cash","BW CHILLED CAKES","SINFUL CAKE SLICE","","","1","79","79","0","51.35","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","1:50pm","1709099406","3004","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","1:21pm","1709097663","3003","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","1:08pm","1709096903","3002","194","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","1:08pm","1709096903","3002","","","Cash","BW SPREADS","LC PLAIN | SACHET 220ML","","","1","95","95","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","1:08pm","1709096886","3001","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","1:00pm","1709096431","3000","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","12:55pm","1709096153","2999","30","0","Cash","BW CANDLES","CANDLE | No* 1","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","12:55pm","1709096153","2999","","","Cash","BW CANDLES","CANDLE | No* 0","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","12:19pm","1709093960","2998","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","12:04pm","1709093095","2997","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","11:29am","1709090951","2996","28","22.75","Cash","BW PASALUBONG","TOASTED BREAD","","","1","35","28","0","22.75","","","Promo","20","7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","11:22am","1709090575","2995","115","74.75","Cash","BW PASTRIES","EGG PIE","","","3","28","84","0","18.2","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","11:22am","1709090575","2995","","","Cash","BW PASTRIES","UBE EGG PIE","","","1","31","31","0","20.15","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","11:06am","1709089593","2994","35","16.25","Cash","BW BREADS","PANDESAL | PLAIN","","","1","35","35","0","16.25","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:56am","1709089003","2993","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:42am","1709088143","2992","83.3","0","Cash","BW CHILLED CAKES","CUSTARD CAKE","","","1","119","83.3","0","0","","","1 day","30","35.7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:42am","1709088124","2991","495","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","5","130","495","0","0","","","Promo 5 sets","23.846153846153847","155","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:26am","1709087176","2990","15","0","Cash","BW BEVERAGES","BOTTLED WATER","","","1","15","15","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:09am","1709086141","2989","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:00am","1709085636","2988","379","246.35","Cash","BW CHILLED CAKES","DOUBLE CHOCO | 7R","","","1","379","379","0","246.35","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","10:00am","1709085636","2988","","","Cash","BW CANDLES","CANDLE | PINK SM","","","1","2","0","0","0","","","","100","2","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","9:28am","1709083703","2987","40","0","Cash","BW BEVERAGES","MINUTE MAID | 250 ml","","","2","20","40","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","8:29am","1709080182","2986","198","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","2","130","198","0","0","","","","23.846153846153847","62","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","8:27am","1709080052","2985","28","22.75","Cash","BW PASALUBONG","TOASTED BREAD","","","1","35","28","0","22.75","","","","20","7","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","8:27am","1709080039","2984","198","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","2","130","198","0","0","","","","23.846153846153847","62","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","8:27am","1709080029","2983","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"28 Feb 2024","8:02am","1709078571","2982","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"27 Feb 2024","6:10pm","1709028633","2981","526.4","410.8","Cash","BW CHILLED CAKES","CUSTARD CAKE","","","1","119","83.3","0","0","","","1day before","30","35.7","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","6:10pm","1709028633","2981","","","Cash","BW PASTRIES","SPECIAL MAMON","","","1","25","17.5","0","16.25","","","1day before","30","7.5","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","6:10pm","1709028633","2981","","","Cash","BW CHILLED CAKES","SINFUL CAKE | 6R","","","1","579","405.3","0","376.35","","","1day before","30","173.7","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","6:10pm","1709028633","2981","","","Cash","BW PASTRIES","CHOCO MARBLE MAMON","","","1","29","20.3","0","18.2","","","1day before","30","8.7","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:53pm","1709027627","2980","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:50pm","1709027440","2979","173","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:50pm","1709027440","2979","","","Cash","BW SPREADS","PEANUT BUTTER | 250 grams","","","1","74","74","0","0","","","","","0","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:48pm","1709027281","2978","198","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","2","130","198","0","0","","","","23.846153846153847","62","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:42pm","1709026925","2977","319","207.35","Cash","BW CHILLED CAKES","FAMOUS MOCHA | 7R","","","1","319","319","0","207.35","","","","","0","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:42pm","1709026925","2977","","","Cash","BW CANDLES","CANDLE | PINK SM","","","1","2","0","0","0","","","","100","2","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","5:30pm","1709026207","2976","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","4:58pm","1709024315","2975","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","CJ Banao","","","","","",""
"27 Feb 2024","4:56pm","1709024175","2974","147","0","Cash","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","","14.534883720930234","25","","0","0","","0","CJ Banao","","","","","",""
